,color,next_play,balance,bet_amount
1991,black,black,184270,10
1992,red,red,184260,20
1993,red,red,184280,10
1994,red,red,184290,10
1995,red,red,184300,10
1996,red,red,184310,10
1997,green,none,184300,20
1998,red,red,184300,20
1999,black,black,184280,40
2000,black,black,184320,10
2001,black,black,184330,10
2002,red,red,184320,20
2003,red,red,184340,10
2004,black,black,184330,20
2005,black,black,184350,10
2006,red,red,184340,20
2007,red,red,184360,10
2008,black,black,184350,20
2009,black,black,184370,10
2010,black,black,184380,10
2011,red,red,184370,20
2012,red,red,184390,10
2013,black,black,184380,20
2014,red,red,184360,40
2015,red,red,184400,10
2016,red,red,184410,10
2017,red,red,184420,10
2018,black,black,184410,20
2019,red,red,184390,40
2020,red,red,184430,10
2021,red,red,184440,10
2022,red,red,184450,10
2023,red,red,184460,10
2024,red,red,184470,10
2025,red,red,184480,10
2026,red,red,184490,10
2027,black,black,184480,20
2028,red,red,184460,40
2029,red,red,184500,10
2030,red,red,184510,10
2031,black,black,184500,20
2032,black,black,184520,10
2033,black,black,184530,10
2034,black,black,184540,10
2035,black,black,184550,10
2036,black,black,184560,10
2037,red,red,184550,20
2038,green,none,184530,40
2039,red,red,184530,40
2040,red,red,184570,10
2041,black,black,184560,20
2042,red,red,184540,40
2043,red,red,184580,10
2044,red,red,184590,10
2045,black,black,184580,20
2046,black,black,184600,10
2047,red,red,184590,20
2048,black,black,184570,40
2049,black,black,184610,10
2050,red,red,184600,20
2051,black,black,184580,40
2052,red,red,184540,80
2053,red,red,184620,10
2054,red,red,184630,10
2055,red,red,184640,10
2056,green,none,184630,20
2057,red,red,184630,20
2058,red,red,184650,10
2059,black,black,184640,20
2060,red,red,184620,40
2061,black,black,184580,80
2062,red,red,184500,160
2063,black,black,184340,320
2064,red,red,184020,640
2065,red,red,184660,10
2066,red,red,184670,10
2067,black,black,184660,20
2068,black,black,184680,10
2069,red,red,184670,20
2070,red,red,184690,10
2071,black,black,184680,20
2072,black,black,184700,10
2073,red,red,184690,20
2074,black,black,184670,40
2075,red,red,184630,80
2076,black,black,184550,160
2077,red,red,184390,320
2078,red,red,184710,10
2079,black,black,184700,20
2080,black,black,184720,10
2081,red,red,184710,20
2082,black,black,184690,40
2083,green,none,184650,80
2084,red,red,184650,80
2085,black,black,184570,160
2086,red,red,184410,320
2087,black,black,184090,640
2088,red,red,183450,1280
2089,black,black,182170,2560
2090,red,red,179610,5120
2091,red,red,184730,10
2092,green,none,184720,20
2093,black,black,184720,20
2094,black,black,184740,10
2095,red,red,184730,20
2096,red,red,184750,10
2097,red,red,184760,10
2098,red,red,184770,10
2099,black,black,184760,20
2100,red,red,184740,40
2101,black,black,184700,80
2102,black,black,184780,10
2103,black,black,184790,10
2104,red,red,184780,20
2105,red,red,184800,10
2106,black,black,184790,20
2107,black,black,184810,10
2108,black,black,184820,10
2109,red,red,184810,20
2110,black,black,184790,40
2111,red,red,184750,80
2112,black,black,184670,160
2113,black,black,184830,10
2114,black,black,184840,10
2115,red,red,184830,20
2116,black,black,184810,40
2117,red,red,184770,80
2118,red,red,184850,10
2119,black,black,184840,20
2120,red,red,184820,40
2121,red,red,184860,10
2122,black,black,184850,20
2123,red,red,184830,40
2124,red,red,184870,10
2125,black,black,184860,20
2126,black,black,184880,10
2127,black,black,184890,10
2128,red,red,184880,20
2129,black,black,184860,40
2130,red,red,184820,80
2131,black,black,184740,160
2132,red,red,184580,320
2133,red,red,184900,10
2134,red,red,184910,10
2135,black,black,184900,20
2136,red,red,184880,40
2137,red,red,184920,10
2138,black,black,184910,20
2139,red,red,184890,40
2140,green,none,184850,80
2141,black,black,184850,80
2142,black,black,184930,10
2143,black,black,184940,10
2144,black,black,184950,10
2145,black,black,184960,10
2146,black,black,184970,10
2147,red,red,184960,20
2148,red,red,184980,10
2149,black,black,184970,20
2150,red,red,184950,40
2151,red,red,184990,10
2152,red,red,185000,10
2153,red,red,185010,10
2154,black,black,185000,20
2155,black,black,185020,10
2156,black,black,185030,10
2157,red,red,185020,20
2158,black,black,185000,40
2159,black,black,185040,10
2160,green,none,185030,20
2161,black,black,185030,20
2162,red,red,185010,40
2163,black,black,184970,80
2164,red,red,184890,160
2165,black,black,184730,320
2166,black,black,185050,10
2167,red,red,185040,20
2168,black,black,185020,40
2169,black,black,185060,10
2170,black,black,185070,10
2171,black,black,185080,10
2172,black,black,185090,10
2173,red,red,185080,20
2174,black,black,185060,40
2175,black,black,185100,10
2176,red,red,185090,20
2177,red,red,185110,10
2178,red,red,185120,10
2179,black,black,185110,20
2180,black,black,185130,10
2181,black,black,185140,10
2182,red,red,185130,20
2183,red,red,185150,10
2184,red,red,185160,10
2185,black,black,185150,20
2186,red,red,185130,40
2187,red,red,185170,10
2188,red,red,185180,10
2189,black,black,185170,20
2190,red,red,185150,40
2191,black,black,185110,80
2192,red,red,185030,160
2193,red,red,185190,10
2194,black,black,185180,20
2195,red,red,185160,40
2196,black,black,185120,80
2197,red,red,185040,160
2198,black,black,184880,320
2199,black,black,185200,10
2200,red,red,185190,20
2201,black,black,185170,40
2202,black,black,185210,10
2203,black,black,185220,10
2204,black,black,185230,10
2205,red,red,185220,20
2206,black,black,185200,40
2207,black,black,185240,10
2208,black,black,185250,10
2209,red,red,185240,20
2210,black,black,185220,40
2211,black,black,185260,10
2212,red,red,185250,20
2213,red,red,185270,10
2214,black,black,185260,20
2215,black,black,185280,10
2216,black,black,185290,10
2217,black,black,185300,10
2218,black,black,185310,10
2219,red,red,185300,20
2220,red,red,185320,10
2221,black,black,185310,20
2222,red,red,185290,40
2223,red,red,185330,10
2224,red,red,185340,10
2225,black,black,185330,20
2226,black,black,185350,10
2227,red,red,185340,20
2228,red,red,185360,10
2229,black,black,185350,20
2230,black,black,185370,10
2231,red,red,185360,20
2232,black,black,185340,40
2233,red,red,185300,80
2234,red,red,185380,10
2235,red,red,185390,10
2236,red,red,185400,10
2237,red,red,185410,10
2238,black,black,185400,20
2239,red,red,185380,40
2240,red,red,185420,10
2241,black,black,185410,20
2242,red,red,185390,40
2243,red,red,185430,10
2244,red,red,185440,10
2245,black,black,185430,20
2246,red,red,185410,40
2247,black,black,185370,80
2248,red,red,185290,160
2249,red,red,185450,10
2250,red,red,185460,10
2251,red,red,185470,10
2252,red,red,185480,10
2253,black,black,185470,20
2254,black,black,185490,10
2255,red,red,185480,20
2256,red,red,185500,10
2257,red,red,185510,10
2258,red,red,185520,10
2259,black,black,185510,20
2260,black,black,185530,10
2261,black,black,185540,10
2262,black,black,185550,10
2263,red,red,185540,20
2264,black,black,185520,40
2265,red,red,185480,80
2266,red,red,185560,10
2267,green,none,185550,20
2268,red,red,185550,20
2269,black,black,185530,40
2270,black,black,185570,10
2271,red,red,185560,20
2272,black,black,185540,40
2273,red,red,185500,80
2274,green,none,185420,160
2275,red,red,185420,160
2276,black,black,185260,320
2277,red,red,184940,640
2278,black,black,184300,1280
2279,red,red,183020,2560
2280,black,black,180460,5120
2281,red,red,175340,10240
2282,red,red,185580,10
2283,black,black,185570,20
2284,black,black,185590,10
2285,red,red,185580,20
2286,black,black,185560,40
2287,black,black,185600,10
2288,black,black,185610,10
2289,black,black,185620,10
2290,red,red,185610,20
2291,red,red,185630,10
2292,red,red,185640,10
2293,red,red,185650,10
2294,black,black,185640,20
2295,black,black,185660,10
2296,black,black,185670,10
2297,black,black,185680,10
2298,red,red,185670,20
2299,black,black,185650,40
2300,red,red,185610,80
2301,red,red,185690,10
2302,black,black,185680,20
2303,red,red,185660,40
2304,red,red,185700,10
2305,red,red,185710,10
