,color,next_play,balance,bet_amount
0,red,red,175000,10
1,black,black,174990,20
2,red,red,174970,40
3,red,red,175010,10
4,black,black,175000,20
5,black,black,175020,10
6,black,black,175030,10
7,red,red,175020,20
8,black,black,175000,40
9,black,black,175040,10
10,red,red,175030,20
11,red,red,175050,10
12,black,black,175040,20
13,red,red,175020,40
14,red,red,175060,10
15,black,black,175050,20
16,black,black,175070,10
17,black,black,175080,10
18,red,red,175070,20
19,black,black,175050,40
20,red,red,175010,80
21,red,red,175090,10
22,red,red,175100,10
23,black,black,175090,20
24,black,black,175110,10
25,red,red,175100,20
26,red,red,175120,10
27,red,red,175130,10
28,red,red,175140,10
29,red,red,175150,10
30,red,red,175160,10
31,black,black,175150,20
32,black,black,175170,10
33,black,black,175180,10
34,red,red,175170,20
35,black,black,175150,40
36,black,black,175190,10
37,black,black,175200,10
38,red,red,175190,20
39,black,black,175170,40
40,red,red,175130,80
41,black,black,175050,160
42,red,red,174890,320
43,red,red,175210,10
44,black,black,175200,20
45,red,red,175180,40
46,black,black,175140,80
47,black,black,175220,10
48,black,black,175230,10
49,black,black,175240,10
50,red,red,175230,20
51,black,black,175210,40
52,red,red,175170,80
53,red,red,175250,10
